filename,compressor,original_size,compressed_size,decompressed_size,compression_ratio,compression_time,decompression_time
american p.txt,HA,225921,121698,225921,1.856407,0.05658,0.090085
american p.txt,BWT,225921,229457,225921,0.98459,0.438352,0.051617
american p.txt,MTF,225921,225921,225921,1.0,0.073713,0.047295
american p.txt,RLE,225921,227751,225921,0.991965,0.054743,0.001108
american p.txt,LZ77,225921,140234,225921,1.611029,0.765785,0.033314
american p.txt,LZ78,225921,171384,225921,1.318215,0.076738,0.023048
american p.txt,LZSS,225921,294781,225921,0.766403,0.858518,0.019934
american p.txt,LZW,225921,163396,225921,1.382659,0.069166,0.022713
american p.txt,BWT+RLE,225921,142582,225921,1.584499,0.495336,0.06859
american p.txt,BWT+MTF+HA,225921,104147,225921,2.169251,0.556537,0.165201
american p.txt,BWT+MTF+RLE+HA,225921,101058,225921,2.235558,0.611626,0.170604
american p.txt,LZSS+HA,225921,127844,225921,1.767162,0.905868,0.112209
american p.txt,LZW+HA,225921,99365,225921,2.273648,0.116601,0.092576
black_white.tif,HA,1440000,180013,1440000,7.999422,0.232961,0.324713
black_white.tif,BWT,1440000,1462504,1440000,0.984613,5.082678,0.292687
black_white.tif,MTF,1440000,1440000,1440000,1.0,0.309971,0.307489
black_white.tif,RLE,1440000,317552,1440000,4.53469,0.205563,0.080754
black_white.tif,LZ77,1440000,38804,1440000,37.109576,18.590955,0.095735
black_white.tif,LZ78,1440000,82689,1440000,17.41465,0.374637,0.014593
black_white.tif,LZSS,1440000,69924,1440000,20.593788,27.605964,0.006708
black_white.tif,LZW,1440000,67148,1440000,21.445166,0.656587,0.026311
black_white.tif,BWT+RLE,1440000,100991,1440000,14.258696,7.563815,0.552264
black_white.tif,BWT+MTF+HA,1440000,194561,1440000,7.401278,7.999219,1.356838
black_white.tif,BWT+MTF+RLE+HA,1440000,67390,1440000,21.368156,8.304606,1.208645
black_white.tif,LZSS+HA,1440000,33343,1440000,43.187476,27.63267,0.052565
black_white.tif,LZW+HA,1440000,41351,1440000,34.823825,0.854776,0.053921
coffee_gray.jpg,HA,3000000,2515826,3000000,1.192451,1.488543,20.536804
coffee_gray.jpg,BWT,3000000,3046880,3000000,0.984614,11.091718,0.950782
coffee_gray.jpg,MTF,3000000,3000000,3000000,1.0,1.383021,1.133775
coffee_gray.jpg,RLE,3000000,1130266,3000000,2.654242,0.784928,0.435828
coffee_gray.jpg,LZ77,3000000,1454084,3000000,2.063155,6.189566,0.706807
coffee_gray.jpg,LZ78,3000000,1404859,3000000,2.135446,2.10868,0.399105
coffee_gray.jpg,LZSS,3000000,2608752,3000000,1.149975,5.740923,0.301141
coffee_gray.jpg,LZW,3000000,1180940,3000000,2.540349,1.771353,0.342354
coffee_gray.jpg,BWT+RLE,3000000,1646863,3000000,1.821645,11.339823,1.575577
coffee_gray.jpg,BWT+MTF+HA,3000000,909370,3000000,3.298987,13.17945,5.178352
coffee_gray.jpg,BWT+MTF+RLE+HA,3000000,1112131,3000000,2.697524,13.946961,7.174031
coffee_gray.jpg,LZSS+HA,3000000,1050844,3000000,2.854848,6.795027,4.789289
